image_1,image_2,day_diff,change_detected,change_description
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1/2013-5-1.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1/2014-6-15.jpg,410 days,False,
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1/2012-1-26.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1/2015-8-1.jpg,1283 days,True,Additional structures and vehicles were added to the property area near trees.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1/2012-1-26.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1/2013-5-1.jpg,461 days,True,Additional structures have been added to the property near trees.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1/2012-1-26.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1/2014-6-15.jpg,871 days,True,The area near the trees shows additional structures and vehicles that were not present before.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1/2013-5-1.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1/2015-8-1.jpg,822 days,True,The number and arrangement of vehicles near the house have changed significantly.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1/2014-6-15.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1/2015-8-1.jpg,412 days,True,The area near the trees shows an additional structure and vehicles have been added to what appears previously empty space.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_10/2015-4-3.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_10/2016-5-25.jpg,418 days,False,
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_10/2015-4-3.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_10/2015-6-27.jpg,85 days,False,
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_10/2015-6-27.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_10/2016-4-28.jpg,306 days,False,
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_10/2015-4-3.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_10/2016-4-28.jpg,391 days,False,
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_10/2016-4-28.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_10/2016-5-25.jpg,27 days,False,
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_100/2016-9-7.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_100/2017-3-12.jpg,186 days,False,
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_100/2016-9-7.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_100/2017-1-23.jpg,138 days,False,
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_100/2016-9-7.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_100/2016-11-9.jpg,63 days,True,The central area now includes additional structures and landscaping compared to before.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_10/2015-6-27.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_10/2016-5-25.jpg,333 days,True,The small structure near the road appears to have been replaced with another one.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_100/2016-11-9.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_100/2017-1-23.jpg,75 days,False,
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_100/2017-1-23.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_100/2017-3-12.jpg,48 days,False,
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1001/2015-4-21.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1001/2016-3-4.jpg,318 days,False,
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1001/2015-4-21.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1001/2015-5-29.jpg,38 days,False,
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_100/2016-11-9.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_100/2017-3-12.jpg,123 days,True,The white structure with a flat roof appears to have been replaced by another larger one nearby.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1001/2015-4-21.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1001/2016-5-3.jpg,378 days,True,The number and arrangement of parked airplanes have changed slightly.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1001/2016-3-4.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1001/2016-5-3.jpg,60 days,False,
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1001/2015-5-29.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1001/2016-3-4.jpg,280 days,True,New hangar structures have been added to the right side.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1001/2015-5-29.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1001/2016-5-3.jpg,340 days,True,New hangars were added to the right side.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2014-8-30.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2016-4-17.jpg,596 days,True,The area is now covered with green grass instead of bare ground.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2016-4-17.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2016-4-23.jpg,6 days,False,
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2016-4-17.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2016-10-27.jpg,193 days,True,Additional vehicles were parked near one side of the complex.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2016-4-23.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2016-10-27.jpg,187 days,True,Additional structures have been added to the existing complex near the runway's end.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2014-8-30.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2016-10-27.jpg,789 days,True,Vegetation grew significantly around and within the structures over time.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2014-8-30.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1004/2016-4-23.jpg,602 days,True,The area is now covered with green grass instead of bare ground.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_101/2015-8-3.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_101/2015-9-14.jpg,42 days,True,The white structure's roof appears to have changed from flat to pitched.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_101/2015-8-3.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_101/2015-12-24.jpg,143 days,True,The roof color changed from white to blue for one section of the large structure.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_101/2015-8-3.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_101/2016-2-13.jpg,194 days,True,The large white structure now includes additional dark sections indicating expansion.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_101/2015-9-14.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_101/2015-12-24.jpg,101 days,True,The roof color changed from white to blue for one section of the large structure.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_101/2015-9-14.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_101/2016-2-13.jpg,152 days,True,The central structure appears to have been replaced with an elongated white roofed facility.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_101/2015-12-24.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_101/2016-2-13.jpg,51 days,True,The large white structure appears to have been painted over with black markings.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2012-2-1.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2012-9-2.jpg,214 days,True,The parking lot adjacent to the main structure appears more crowded with vehicles compared before.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2012-2-1.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2015-10-14.jpg,1351 days,True,Additional vehicles parked near one side of the parking lot have been added.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2012-2-1.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2016-4-5.jpg,1525 days,True,The parking lot adjacent to the main structure appears more crowded with vehicles compared before.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2012-9-2.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2015-10-14.jpg,1137 days,True,Additional vehicles parked near the large white structure indicate increased activity and possibly more visitors/employees.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2012-9-2.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2016-4-5.jpg,1311 days,True,Additional vehicles parked near the large white structure indicate increased activity.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1021/2016-7-15.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1021/2016-8-12.jpg,28 days,False,
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2015-10-14.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1017/2016-4-5.jpg,174 days,True,New greenery and landscaping have been added around the central area.
/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1021/2016-7-15.jpg,/root/autodl-tmp/data/RSCC-timelapse/TAMMs/airport_hangar/airport_hangar_1021/2016-9-11.jpg,58 days,True,The area around the white structure shows signs of development with additional structures and landscaping visible compared to before.
